"[object Object]","类型","占有内存","Key数量","元素数量"
"bibi:user_purse","string","234.28 KB","1.76K","1.76K"
"bibi_captcha","string","218.34 KB","1.64K","1.64K"
"bibi_captcha_verify","string","218.34 KB","1.64K","1.64K"
"bibi_diamond","zset","210.22 KB","1.84K","1.84K"
"bibi_diamond_user","zset","210.10 KB","1.84K","1.84K"
"bibi_user_visitor","string","208.36 KB","1.78K","1.78K"
"bibi_match","string","203.29 KB","2.14K","2.14K"
"bibi:moments","string","199.98 KB","2.33K","2.33K"
"bibi:moments_publish","string","199.98 KB","2.33K","2.33K"
"bibi_act","string","196.46 KB","717","717"
"bibi_act_total","string","196.46 KB","717","717"
"bibi_match_worker","string","173.80 KB","1.92K","1.92K"
"bibi_moment_at","string","166.45 KB","402","402"
"bibi_user_daily","set","163.75 KB","1.29K","1.55K"
"bibi_radio","hash","159.84 KB","818","5.66K"
"bibi_home","string","152.17 KB","2","2"
"bibi:fans","set","145.88 KB","874","13.00K"
"bibi:fans_team","set","145.88 KB","874","13.00K"
"bibi_activity","zset","144.97 KB","3","1.62K"
"bibi_activity_key","zset","144.34 KB","1","1.60K"
"bibi_radio_room","hash","142.25 KB","657","5.37K"
"bibi_dating","hash","140.85 KB","1.28K","2.53K"
"bibi_dating_job","hash","140.85 KB","1.28K","2.53K"
"bibi_room_tag","string","140.20 KB","3","3"
"bibi:bibi","string","134.59 KB","1.07K","1.07K"
"bibi:inroom","string","134.00 KB","1.07K","1.07K"
"bibi:inroom_error","string","134.00 KB","1.07K","1.07K"
"bibi:bibi_user","string","132.95 KB","1.06K","1.06K"
"bibi_account","zset","123.46 KB","1.11K","2.15K"
"bibi_account_member","zset","123.46 KB","1.11K","2.15K"
"bibi_activity","hash","104.95 KB","799","2.47K"
"bibi_advertise","string","103.53 KB","768","768"
"redisson","string","103.52 KB","631","631"
"redisson__execute","string","103.52 KB","631","631"
"bibi_mq_prize","string","99.05 KB","118","118"
"bibi_activity_lottery","hash","98.09 KB","760","2.21K"
"bibi_room_fm","string","96.53 KB","762","762"
"bibi_home_page","string","96.07 KB","1","1"
"bibi_room_tag","zset","95.38 KB","636","1.49K"
"bibi_lucky","string","88.16 KB","591","591"
"bibi_lucky_tree","string","88.16 KB","591","591"
"bibi_room_cross","hash","87.07 KB","512","1.22K"
"bibi:{gift","hash","86.68 KB","23","1.05K"
"bibi:{gift_red","hash","86.68 KB","23","1.05K"
"bibi_user_location","string","72.56 KB","319","319"
"bibi_friend","string","72.30 KB","617","617"
"bibi_friend_wall","string","72.30 KB","617","617"
"bibi_user_login","string","71.98 KB","709","709"
"bibi_match","hash","71.14 KB","28","80"
"bibi_match_history","hash","71.14 KB","28","80"
"bibi_user_special","string","70.31 KB","600","600"
"bibi:gift","zset","69.34 KB","540","2.43K"
"bibi:gift_naming","zset","69.34 KB","540","2.43K"
"bibi_room_day","zset","63.54 KB","257","3.17K"
"bibi_room_gift","zset","60.75 KB","201","3.45K"
"bibi_advertise_user","string","56.84 KB","485","485"
"bibi_guild","hash","56.41 KB","152","2.05K"
"bibi_guild_user","hash","56.41 KB","152","2.05K"
"bibi_home_live","string","56.10 KB","1","1"
"bibi_prize","zset","47.86 KB","85","164"
"bibi_prize_record","zset","47.86 KB","85","164"
"bibi:ktv","zset","47.51 KB","1","63"
"bibi:ktv_song","zset","47.51 KB","1","63"
"bibi_guild_contract","zset","43.94 KB","63","1.95K"
"bibi_unlock","string","38.91 KB","332","332"
"bibi_unlock_wx","string","38.91 KB","332","332"
"bibi_intimate","string","37.73 KB","340","340"
"bibi_intimate_friend","string","37.73 KB","340","340"
"bibi_special","zset","37.44 KB","2","421"
"bibi_special_user","zset","37.44 KB","2","421"
"bibi_pk_room","zset","37.30 KB","84","1.07K"
"bibi_room_fm","zset","33.89 KB","296","758"
"bibi_user_special","set","31.28 KB","315","447"
"bibi:bibi","hash","30.09 KB","210","318"
"bibi:room:cvr","zset","29.78 KB","2","348"
"bibi_match_observer","string","29.48 KB","222","222"
"bibi_punch","hash","28.50 KB","54","94"
"bibi_punch_details","hash","28.50 KB","54","94"
"bibi_audio","string","27.49 KB","207","207"
"bibi_audio_stream","string","27.49 KB","207","207"
"bibi:bibi_is","hash","26.57 KB","204","312"
"bibi_float","string","25.53 KB","172","172"
"bibi_float_task","string","25.53 KB","172","172"
"bibi_recommend","hash","25.17 KB","68","1.63K"
"bibi_recommend_stock","hash","25.17 KB","68","1.63K"
"bibi_advertise_oaid","string","24.55 KB","150","150"
"bibi_advertise_deviceid","string","20.81 KB","124","124"
"bibi","list","19.92 KB","90","245"
"bibi_lock_payment","string","18.73 KB","141","141"
"bibi_room_online","hash","18.15 KB","119","357"
"bibi_radio_mic","hash","17.60 KB","161","291"
"bibi_room_heat","hash","17.28 KB","150","503"
"{bibi","zset","16.46 KB","106","106"
"{bibi_room","zset","16.46 KB","106","106"
"{bibi_room_online","zset","16.46 KB","106","106"
"bibi_game","hash","15.73 KB","36","39"
"bibi_game_player","hash","15.73 KB","36","39"
"bibi_room_mvp","hash","14.79 KB","99","198"
"bibi:room","hash","14.58 KB","96","239"
"bibi:room_fm","hash","14.42 KB","95","236"
"bibi_gift","string","13.76 KB","157","157"
"bibi_gift_rocket","string","13.55 KB","155","155"
"{bibi","string","13.50 KB","108","108"
"{bibi_room","string","13.50 KB","108","108"
"{bibi_room_online","string","13.50 KB","108","108"
"bibi_convene","hash","13.38 KB","126","153"
"bibi_convene_room","hash","13.38 KB","126","153"
"bibi:certify","string","12.36 KB","98","98"
"bibi:certify_user","string","12.36 KB","98","98"
"bibi:moment","string","11.71 KB","90","90"
"bibi:moment_invite","string","11.71 KB","90","90"
"bibi_net","string","11.25 KB","15","15"
"bibi_net_ease","string","11.25 KB","15","15"
"bibi_room_special","hash","10.86 KB","52","217"
"bibi_current","list","10.68 KB","82","148"
"bibi_current_checkpoint","list","10.68 KB","82","148"
"bibi_operation","string","10.30 KB","2","2"
"bibi_operation_week","string","10.30 KB","2","2"
"bibi_user_register","string","10.13 KB","81","81"
"bibi_sms","string","9.96 KB","91","91"
"bibi_fm","hash","9.68 KB","15","321"
"bibi_fm_room","hash","9.68 KB","15","321"
"bibi_finger","hash","9.55 KB","15","20"
"bibi_finger_guess","hash","9.55 KB","15","20"
"bibi_activity","list","9.24 KB","8","97"
"bibi:dating","string","8.98 KB","99","99"
"bibi_school","string","8.80 KB","69","69"
"bibi_school_name","string","8.80 KB","69","69"
"bibi_room_real","zset","8.72 KB","71","190"
"bibi_mq_guild","string","8.01 KB","34","34"
"bibi_chat","string","7.97 KB","68","68"
"bibi_chat_room","string","7.97 KB","68","68"
"bibi_activity_box","list","7.81 KB","1","51"
"bibi:guild","string","7.76 KB","61","61"
"bibi:guild_relieve","string","7.76 KB","61","61"
"bibi:fans","zset","7.47 KB","63","242"
"bibi:fans_team","zset","7.47 KB","63","242"
"bibi_sms_send","string","7.15 KB","61","61"
"bibi:promote","hash","6.89 KB","5","800"
"bibi:promote_room","hash","6.89 KB","5","800"
"bibi_room","set","6.39 KB","36","57"
"bibi:bibi","zset","6.24 KB","55","91"
"bibi_room_cross","set","6.23 KB","35","56"
"bibi_mq_bid","string","5.96 KB","11","11"
"bibi:bibi_room","zset","5.55 KB","48","82"
"bibi_moment_latest","string","5.36 KB","49","49"
"bibi_platform","string","5.15 KB","1","1"
"bibi_platform_retained","string","5.15 KB","1","1"
"bibi_certification","string","5.14 KB","47","47"
"bibi_certification_fail","string","5.14 KB","47","47"
"bibi_room_pk","string","4.97 KB","53","53"
"bibi:dating:anchor","string","4.61 KB","50","50"
"bibi_clear","string","4.59 KB","42","42"
"bibi_clear_charm","string","4.59 KB","42","42"
"bibi_personal","hash","4.57 KB","1","15"
"bibi_personal_background","hash","4.57 KB","1","15"
"bibi_room_pk","zset","4.56 KB","23","23"
"bibi_like","string","4.13 KB","33","33"
"bibi_like_fans","string","4.13 KB","33","33"
"bibi_login","string","4.09 KB","31","31"
"bibi_login_password","string","4.09 KB","31","31"
"current","string","3.94 KB","42","42"
"current_game","string","3.94 KB","42","42"
"bibi_activity_had","hash","3.93 KB","23","108"
"bibi:certify","set","3.86 KB","26","53"
"bibi:certify_user","set","3.86 KB","26","53"
"bibi:guild","zset","3.65 KB","7","7"
"bibi:guild_angle","zset","3.65 KB","7","7"
"bibi:bibi_blind","hash","3.52 KB","6","6"
"bibi_activity_user","hash","2.93 KB","16","151"
"bibi_h5_wx","string","2.90 KB","20","20"
"bibi_pal_worker","string","2.81 KB","24","24"
"bibi_full","hash","2.80 KB","2","5"
"bibi_full_service","hash","2.80 KB","2","5"
"bibi_guild","string","2.75 KB","22","22"
"bibi_guild_contract","string","2.75 KB","22","22"
"bibi:room_angle","zset","2.75 KB","3","7"
"bibi_moment_user","set","2.73 KB","27","51"
"bibi_punch","zset","2.58 KB","2","156"
"bibi_punch_room","zset","2.58 KB","2","156"
"bibi_punish","hash","2.50 KB","19","19"
"bibi_punish_user","hash","2.50 KB","19","19"
"bibi_radio","string","2.40 KB","21","21"
"bibi_radio_broadcast","string","2.40 KB","21","21"
"bibi:dating","zset","2.38 KB","2","80"
"bibi:dating:anchor","zset","2.38 KB","2","80"
"bibi:dating:credit","string","2.34 KB","23","23"
"bibi_lucky","zset","2.31 KB","4","177"
"bibi_lucky_bag","zset","2.31 KB","4","177"
"bibi_user_open","zset","2.24 KB","21","21"
"bibi_unread","hash","2.19 KB","21","22"
"bibi_unread_request","hash","2.10 KB","20","21"
"bibi:dating:playmate","string","2.03 KB","26","26"
"bibi_user_kick","string","2.00 KB","16","16"
"bibi_user_withdraw","string","1.86 KB","17","17"
"bibi_intimate","hash","1.69 KB","6","54"
"bibi_intimate_friend","hash","1.69 KB","6","54"
"bibi:bibi_gift","string","1.65 KB","2","2"
"apple","string","1.59 KB","1","1"
"apple_id","string","1.59 KB","1","1"
"apple_id_public","string","1.59 KB","1","1"
"bibi_task","hash","1.59 KB","3","4"
"bibi_activity_had","list","1.43 KB","7","46"
"bibi_advertise_imei","string","1.34 KB","9","9"
"bibi_task_abstraction","hash","1.17 KB","2","3"
"bibi:interaction","string","1.12 KB","6","6"
"bibi_moment_audit","zset","1.11 KB","1","27"
"bibi_handle","string","1.05 KB","9","9"
"bibi_handle_fm","string","1.05 KB","9","9"
"bibi_query","string","1.03 KB","8","8"
"bibi_query_user","string","1.03 KB","8","8"
"bibi_audio","hash","884.00 B","1","3"
"bibi_audio_stream","hash","884.00 B","1","3"
"bibi_wait","string","864.00 B","9","9"
"bibi_wait_for","string","864.00 B","9","9"
"bibi_user_exclusive","string","840.00 B","4","4"
"bibi_banner","hash","836.00 B","1","1"
"bibi:interaction_status","string","600.00 B","5","5"
"bibi:bibi_blind","zset","586.00 B","6","8"
"bibi_user_act","hash","581.00 B","6","10"
"bibi_room_dating","hash","532.00 B","1","2"
"bibi_activity_relation","zset","526.00 B","1","17"
"bibi_magic","zset","487.00 B","4","4"
"bibi_magic_ball","zset","487.00 B","4","4"
"bibi_pk","string","480.00 B","4","4"
"bibi_pk_add","string","480.00 B","4","4"
"bibi:dating","set","456.00 B","1","90"
"bibi:dating:anchor","set","456.00 B","1","90"
"bibi_task_rule","hash","428.00 B","1","1"
"bibi_single","string","336.00 B","3","3"
"bibi_single_day","string","336.00 B","3","3"
"bibi_user_lucky","string","336.00 B","2","2"
"bibi:user_gold","string","312.00 B","3","3"
"bibi_activity","string","304.00 B","2","2"
"bibi_activity_question","string","304.00 B","2","2"
"bibi_aliyun","zset","302.00 B","2","2"
"bibi_aliyun_voice","zset","302.00 B","2","2"
"bibi_rank","string","264.00 B","3","3"
"bibi_rank_personal","string","264.00 B","3","3"
"bibi:room","string","256.00 B","2","2"
"bibi:room_fm","string","256.00 B","2","2"
"bibi_normal","zset","248.00 B","2","2"
"bibi_normal_number","zset","248.00 B","2","2"
"bibi_lock_cross","string","240.00 B","2","2"
"bibi_charge","string","224.00 B","2","2"
"bibi_charge_unpay","string","224.00 B","2","2"
"bibi_user_withdraw","hash","214.00 B","2","2"
"bibi_gift_plate","string","208.00 B","2","2"
"bibi:seq","string","192.00 B","2","2"
"bibi:seq_no","string","192.00 B","2","2"
"bibi_vivo","string","192.00 B","1","1"
"bibi_vivo_advertise","string","192.00 B","1","1"
"bibi_wx","string","192.00 B","1","1"
"bibi_wx_ticket","string","192.00 B","1","1"
"bibi_room_cross","zset","189.00 B","1","1"
"bibi:room_dating","hash","167.00 B","1","3"
"bibi_room_pk","set","164.00 B","1","1"
"bibi_admin","string","152.00 B","1","1"
"bibi_admin_login","string","152.00 B","1","1"
"bibi_lottery","zset","148.00 B","1","1"
"bibi_lottery_platform","zset","148.00 B","1","1"
"bibi_cdkey","string","144.00 B","1","1"
"bibi_cdkey_lock","string","144.00 B","1","1"
"bibi_room_single","hash","139.00 B","1","1"
"bibi_user_vip3","zset","139.00 B","1","1"
"bibi:join","string","136.00 B","1","1"
"bibi:join_fans","string","136.00 B","1","1"
"bibi_room_top","zset","131.00 B","1","7"
"bibi_user_vip3","string","128.00 B","1","1"
"bibi:bibi_ordinary","zset","125.00 B","1","1"
"bibi_diamond_number","zset","124.00 B","1","1"
"bibi_game","string","120.00 B","1","1"
"bibi_game_publish","string","120.00 B","1","1"
"bibi_party","set","120.00 B","1","2"
"bibi_party_page","set","120.00 B","1","2"
"bibi_activity_lottery","zset","116.00 B","1","1"
"bibi:headlines","string","112.00 B","1","1"
"bibi:headlines_send","string","112.00 B","1","1"
"bibi_room_robot","string","112.00 B","1","1"
"bibi_user_exchange","string","112.00 B","1","1"
"bibi_room_bid","zset","107.00 B","1","1"
"bibi_first","zset","105.00 B","1","1"
"bibi_first_platform","zset","105.00 B","1","1"
"bibi_unread_singing","hash","99.00 B","1","1"
"bibi_first","string","96.00 B","1","1"
"bibi_first_user","string","96.00 B","1","1"
"bibi:magic","string","80.00 B","1","1"
"bibi:magic_ball","string","80.00 B","1","1"
